profile_id,canonical_name,canonical_key,catalog_class,catalog_reason,total_mentions,total_chunks,total_works,matched_chunk_count,matched_work_count,variant_count,collections,topic_families,variants,top_plant_parts,top_preparations,top_conditions,top_cautions,top_supporting_works,source_family_refs
seed-lemon,Lemon,lemon,culinary-medicinal-plant,curated-high-confidence-seed-term,7210,6659,757,6659,757,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Lemon;Lemons,Fruit;Bark;Root;Flower;Leaf,Juice;Oil;Syrup;Powder;Tea,Fever;Cold or catarrh;Vomiting or nausea;Diarrhoea or looseness;Inflammation,Dose caution;Bleeding caution;Narcotic or sedative caution;Child-use caution;Fatal-risk warning,wellcome-ujbsp48n;wellcome-vcp6d7za;wellcome-q648cs3p;wellcome-m8qd4bew;nlm-2702091R,term-lemon-f464d7d71c#lemon
seed-orange,Orange,orange,culinary-medicinal-plant,curated-high-confidence-seed-term,2773,2614,564,2614,564,6,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Orange;Oranges;Orange Flowers;Orange Flower;Orange Berries;Orange Berry,Flower;Root;Fruit;Bark;Leaf,Juice;Syrup;Oil;Tea;Powder,Fever;Cold or catarrh;Vomiting or nausea;Diarrhoea or looseness;Epilepsy or convulsions,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Toxicity watch,wellcome-ujbsp48n;wellcome-vcp6d7za;wellcome-q648cs3p;wellcome-dkebu9hu;wellcome-bsnmkdkc,term-orange-1b4c9133da#orange
seed-violet,Violet,violet,culinary-medicinal-plant,curated-high-confidence-seed-term,1306,1211,318,1211,318,4,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Violet;Violets;Violet Flowers;Violet Flower,Flower;Leaf;Root;Seed;Gum,Syrup;Oil;Juice;Powder;Tincture,Cold or catarrh;Cough;Wounds or ulcers;Fever;Vomiting or nausea,Dose caution;Child-use caution;Narcotic or sedative caution;Toxicity watch;Bleeding caution,wellcome-ujbsp48n;nlm-2751057R;wellcome-kxejz6hv;pg-49513;wellcome-c4ncu7qz,term-violet-22d2084f01#violet
seed-anise,Anise,anise,culinary-medicinal-plant,curated-high-confidence-seed-term,1268,1135,347,1135,347,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Anise,Seed;Root;Bark;Gum;Leaf,Oil;Tincture;Powder;Tea;Essence,Cough;Cold or catarrh;Colic;Vomiting or nausea;Fever,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Fatal-risk warning,wellcome-ujbsp48n;wellcome-dvdzaqep;nlm-61820150R;wellcome-dkebu9hu;wellcome-fwzua59q,term-anise-a56fc8aaf1#anise
seed-caraway,Caraway,caraway,culinary-medicinal-plant,curated-high-confidence-seed-term,1205,1092,313,1092,313,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Caraway;Caraways,Seed;Root;Leaf;Berry;Flower,Oil;Powder;Syrup;Pill;Tincture,Cold or catarrh;Colic;Diarrhoea or looseness;Cough;Wounds or ulcers,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Allergy or sensitivity caution,wellcome-q648cs3p;wellcome-ujbsp48n;wellcome-dwk6bbmw;wellcome-c3u76kss;wellcome-nhx2ne6y,term-caraway-8d92bcadd1#caraway
seed-fennel,Fennel,fennel,culinary-medicinal-plant,curated-high-confidence-seed-term,1059,1012,391,1012,391,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Fennel,Seed;Root;Leaf;Flower;Berry,Oil;Powder;Juice;Syrup;Tea,Cold or catarrh;Wounds or ulcers;Fever;Colic;Dropsy,Dose caution;Child-use caution;Narcotic or sedative caution;Toxicity watch;Allergy or sensitivity caution,wellcome-ujbsp48n;nlm-63610340R;wellcome-q648cs3p;wellcome-takhmyez;wellcome-cfrchse5,term-fennel-1e36798f67#fennel
seed-rosemary,Rosemary,rosemary,culinary-medicinal-plant,curated-high-confidence-seed-term,984,886,315,886,315,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Rosemary;Rosemary Flowers,Flower;Root;Leaf;Seed;Tops,Oil;Tincture;Liniment;Powder;Bath,Cold or catarrh;Rheumatism;Wounds or ulcers;Cough;Colic,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Fatal-risk warning,wellcome-ujbsp48n;wellcome-q648cs3p;wellcome-yfu6989c;wellcome-fwzua59q;wellcome-ctkumbc4,term-rosemary-f5b1f644f7#rosemary
seed-mint,Mint,mint,culinary-medicinal-plant,curated-high-confidence-seed-term,911,845,370,845,370,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Mint;Mints,Gum;Leaf;Root;Bark;Seed,Oil;Powder;Tea;Syrup;Plaster,Vomiting or nausea;Cold or catarrh;Rheumatism;Fever;Diarrhoea or looseness,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Bleeding caution,wellcome-ujbsp48n;wellcome-a264n73x;wellcome-takhmyez;wellcome-vcp6d7za;nlm-64210130R,term-mint-dc6f17bbec#mint
seed-sage,Sage,sage,culinary-medicinal-plant,curated-high-confidence-seed-term,736,656,319,656,319,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Sage,Leaf;Flower;Root;Bark;Seed,Tea;Infusion;Gargle;Decoction;Tincture,Cold or catarrh;Fever;Vomiting or nausea;Wounds or ulcers;Cough,Dose caution;Child-use caution;Bleeding caution;Narcotic or sedative caution;Allergy or sensitivity caution,wellcome-ujbsp48n;nlm-100912803;nlm-63570990R;wellcome-m43ephex;nlm-0140313,term-sage-7e5d4325a4#sage
seed-spearmint,Spearmint,spearmint,culinary-medicinal-plant,manual-curator-promoted-specific-family,547,497,214,497,214,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Spearmint,Leaf;Root;Bark;Flower;Seed,Oil;Tea;Infusion;Tincture;Essence,Vomiting or nausea;Cold or catarrh;Inflammation;Fever;Colic,Dose caution;Child-use caution;Narcotic or sedative caution;Allergy or sensitivity caution;Fatal-risk warning,nlm-63580630R;wellcome-jamxx58n;nlm-64210130R;nlm-61660590R;nlm-101485225,term-spearmint-509c701f67#spearmint
seed-parsley,Parsley,parsley,culinary-medicinal-plant,curated-high-confidence-seed-term,279,271,153,271,153,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Parsley,Root;Seed;Leaf;Berry;Bark,Oil;Juice;Infusion;Tea;Decoction,Dropsy;Fever;Vomiting or nausea;Inflammation;Cold or catarrh,Dose caution;Narcotic or sedative caution;Toxicity watch;Fatal-risk warning;Child-use caution,nlm-63580630R;wellcome-vcp6d7za;pg-19352;nlm-63610340R;wellcome-yyu6fnvg,term-parsley-2c8dcb8d7d#parsley
seed-thyme,Thyme,thyme,culinary-medicinal-plant,curated-high-confidence-seed-term,268,249,147,249,147,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Thyme,Flower;Leaf;Resin;Root;Gum,Oil;Powder;Ointment;Essence;Liniment,Cold or catarrh;Rheumatism;Cough;Wounds or ulcers;Colic,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Allergy or sensitivity caution,wellcome-ujbsp48n;wellcome-pybf3nye;wellcome-q648cs3p;wellcome-usxe87yv;wellcome-zvb4nnsd,term-thyme-965b46f5fa#thyme
seed-borage,Borage,borage,culinary-medicinal-plant,curated-high-confidence-seed-term,67,63,32,63,32,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;culinary-herbs;cultivation;domestic-medicine;herbal;hygiene;materia-medica;medicinal-plants;pharmacopoeia,Borage,Leaf;Flower;Root;Seed;Berry,Syrup;Juice;Extract;Infusion;Decoction,Cold or catarrh;Cough;Fever;Inflammation;Cholera,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Bleeding caution,wellcome-ujbsp48n;wellcome-agdnfevh;wellcome-q648cs3p;wellcome-takhmyez;wellcome-n9cbm5vq,term-borage-2421092ed9#borage
seed-chicory,Chicory,chicory,culinary-medicinal-plant,curated-high-confidence-seed-term,22,22,18,22,18,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;culinary-herbs;cultivation;domestic-medicine;herbal;household-health;hygiene;materia-medica;pharmacopoeia;public-health,Chicory,Root;Berry;Flower;Bark;Leaf,Infusion;Juice;Oil;Extract;Syrup,Fever;Diarrhoea or looseness;Headache;Colic;Consumption,Dose caution;Child-use caution,nlm-63610340R;wellcome-q648cs3p;nlm-0222600;wellcome-vap2a7m4;wellcome-zeubyvsm,term-chicory-7dc6841f08#chicory
seed-olive,Olive,olive,medicinal-herb,curated-high-confidence-seed-term,5996,5239,754,5239,754,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Olive;Olives,Resin;Seed;Root;Leaf;Flower,Oil;Ointment;Powder;Plaster;Liniment,Cold or catarrh;Wounds or ulcers;Inflammation;Cough;Rheumatism,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Toxicity watch,wellcome-ujbsp48n;wellcome-q648cs3p;wellcome-wghdhhgb;wellcome-dwk6bbmw;wellcome-dkebu9hu,term-olive-fa65983171#olive
seed-chamomile,Chamomile,chamomile,medicinal-herb,curated-high-confidence-seed-term,4124,3740,671,3740,671,7,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Chamomile;Camomile;Camomile Flowers;Chamomile Flowers;Camo- Mile;Camo- Mile Flowers;Camomile Flower,Flower;Root;Bark;Leaf;Seed,Oil;Infusion;Decoction;Tea;Powder,Vomiting or nausea;Cold or catarrh;Fever;Inflammation;Wounds or ulcers,Dose caution;Narcotic or sedative caution;Bleeding caution;Child-use caution;Toxicity watch,wellcome-ujbsp48n;nlm-63610340R;wellcome-fye8pzgm;nlm-0217315;nlm-0217404,term-chamomile-2c74f1d403#chamomile
seed-licorice,Licorice,licorice,medicinal-herb,curated-high-confidence-seed-term,4124,3727,628,3727,628,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Licorice;Liquorice,Root;Gum;Seed;Bark;Leaf,Extract;Powder;Decoction;Pill;Syrup,Cold or catarrh;Cough;Fever;Wounds or ulcers;Rheumatism,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-ujbsp48n;wellcome-q648cs3p;wellcome-nhx2ne6y;wellcome-x5urdxkm;wellcome-wghdhhgb,term-licorice-8a60896fe1#licorice
seed-castor,Castor,castor,medicinal-herb,curated-high-confidence-seed-term,3947,3608,625,3608,625,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Castor,Seed;Root;Bark;Leaf;Gum,Oil;Tincture;Powder;Tea;Pill,Cold or catarrh;Vomiting or nausea;Diarrhoea or looseness;Fever;Constipation,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-ujbsp48n;wellcome-a7hj5sbp;wellcome-dkebu9hu;nlm-63580420R;wellcome-q648cs3p,term-castor-59ade5a471#castor
seed-senna,Senna,senna,medicinal-herb,curated-high-confidence-seed-term,3644,3232,510,3232,510,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Senna,Leaf;Root;Seed;Bark;Gum,Infusion;Tincture;Syrup;Powder;Oil,Cold or catarrh;Fever;Vomiting or nausea;Diarrhoea or looseness;Inflammation,Dose caution;Child-use caution;Narcotic or sedative caution;Bleeding caution;Toxicity watch,wellcome-ujbsp48n;wellcome-cs5n98hu;wellcome-jmh3m2rt;wellcome-kxa3abey;nlm-0217317,term-senna-4a2a663f1b#senna
seed-rose,Rose,rose,medicinal-herb,curated-high-confidence-seed-term,3126,2860,495,2860,495,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Rose;Roses,Leaf;Root;Bark;Flower;Seed,Oil;Infusion;Tincture;Syrup;Juice,Wounds or ulcers;Cold or catarrh;Fever;Inflammation;Vomiting or nausea,Dose caution;Bleeding caution;Child-use caution;Narcotic or sedative caution;Toxicity watch,wellcome-ujbsp48n;pg-49513;wellcome-vcp6d7za;wellcome-pjvn9c9z;wellcome-e58dfqw4,term-rose-618d663af0#rose
seed-gentian,Gentian,gentian,medicinal-herb,curated-high-confidence-seed-term,2966,2752,616,2752,616,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Gentian,Root;Bark;Seed;Gum;Flower,Extract;Pill;Infusion;Powder;Tincture,Cold or catarrh;Fever;Vomiting or nausea;Gout;Cough,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Toxicity watch,wellcome-ujbsp48n;wellcome-g8fcur54;wellcome-n7jvnwj6;wellcome-ump8j3f6;wellcome-j284bqe4,term-gentian-b061a5f0c5#gentian
seed-linseed,Linseed,linseed,medicinal-herb,curated-high-confidence-seed-term,2811,2617,592,2617,592,4,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Linseed;Flaxseed;Flax-seed;Linseeds,Seed;Root;Gum;Bark;Leaf,Oil;Tea;Infusion;Decoction;Poultice,Cold or catarrh;Wounds or ulcers;Cough;Inflammation;Fever,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Bleeding caution,wellcome-ujbsp48n;wellcome-dkebu9hu;nlm-63580420R;nlm-63610340R;wellcome-q648cs3p,term-flax-seed-f9d3db5710#flax-seed;term-flaxseed-15cbc763bf#flaxseed;term-linseed-49423df732#linseed
seed-cinnamon,Cinnamon,cinnamon,medicinal-herb,curated-high-confidence-seed-term,2926,2615,521,2615,521,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Cinnamon;Cinnamon Flower,Bark;Root;Seed;Gum;Leaf,Oil;Powder;Tincture;Syrup;Extract,Cold or catarrh;Diarrhoea or looseness;Vomiting or nausea;Fever;Dysentery,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-ujbsp48n;wellcome-dkebu9hu;wellcome-nhx2ne6y;wellcome-dwk6bbmw;wellcome-a264n73x,term-cinnamon-6011d7a8f3#cinnamon
seed-ginger,Ginger,ginger,medicinal-herb,curated-high-confidence-seed-term,2509,2276,502,2276,502,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Ginger,Root;Seed;Bark;Gum;Leaf,Syrup;Powder;Tincture;Tea;Oil,Cold or catarrh;Fever;Vomiting or nausea;Diarrhoea or looseness;Colic,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-ujbsp48n;wellcome-cs5n98hu;wellcome-jmh3m2rt;wellcome-dkebu9hu;nlm-63560150R,term-ginger-08ddff4ebe#ginger
seed-mustard,Mustard,mustard,medicinal-herb,curated-high-confidence-seed-term,2412,2238,582,2238,582,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Mustard,Seed;Root;Leaf;Bark;Flower,Poultice;Oil;Plaster;Powder;Tea,Cold or catarrh;Fever;Vomiting or nausea;Inflammation;Rheumatism,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-thwh6g2c;nlm-63580630R;nlm-63620310R;nlm-63610340R;nlm-101485225,term-mustard-352b5b6699#mustard
seed-rhubarb,Rhubarb,rhubarb,medicinal-herb,curated-high-confidence-seed-term,2617,2226,552,2226,552,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Rhubarb,Root;Seed;Bark;Gum;Leaf,Tincture;Powder;Syrup;Infusion;Oil,Cold or catarrh;Diarrhoea or looseness;Vomiting or nausea;Fever;Constipation,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-ujbsp48n;nlm-63580630R;nlm-61660590R;wellcome-cs5n98hu;wellcome-thwh6g2c,term-rhubarb-b3f487fbc1#rhubarb
seed-almond,Almond,almond,medicinal-herb,curated-high-confidence-seed-term,2416,2186,595,2186,595,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Almond;Almonds,Gum;Seed;Flower;Root;Leaf,Oil;Powder;Ointment;Syrup;Tincture,Cold or catarrh;Cough;Wounds or ulcers;Inflammation;Vomiting or nausea,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Toxicity watch,wellcome-ujbsp48n;wellcome-q648cs3p;wellcome-dkebu9hu;wellcome-fwzua59q;wellcome-ctkumbc4,term-almond-90e62b92a9#almond
seed-poppy,Poppy,poppy,medicinal-herb,curated-high-confidence-seed-term,2273,2164,509,2164,509,3,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Poppy;Poppies;Poppy Flower,Seed;Leaf;Gum;Root;Flower,Syrup;Juice;Oil;Decoction;Powder,Cough;Cold or catarrh;Vomiting or nausea;Inflammation;Fever,Narcotic or sedative caution;Dose caution;Child-use caution;Bleeding caution;Allergy or sensitivity caution,wellcome-ujbsp48n;wellcome-z5ek83nf;wellcome-cs5n98hu;nlm-63620420R;wellcome-q648cs3p,term-poppy-76c32abc03#poppy
seed-clove,Clove,clove,medicinal-herb,curated-high-confidence-seed-term,2346,2097,522,2097,522,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Clove;Cloves,Root;Bark;Gum;Flower;Leaf,Oil;Powder;Pill;Syrup;Extract,Cold or catarrh;Cough;Vomiting or nausea;Diarrhoea or looseness;Constipation,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Pregnancy caution,wellcome-ujbsp48n;wellcome-q648cs3p;wellcome-a264n73x;wellcome-takhmyez;wellcome-fbvqhy9j,term-clove-9e8c973146#clove
